REF_DATE,GEO,DGUID,Vehicle type,Origin of manufacture,Sales,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1975-01,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,997.0,,,,0
1975-02,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1405.0,,,,0
1975-03,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2010.0,,,,0
1975-04,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2505.0,,,,0
1975-05,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2582.0,,,,0
1975-06,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2629.0,,,,0
1975-07,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2165.0,,,,0
1975-08,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1620.0,,,,0
1975-09,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1528.0,,,,0
1975-10,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1873.0,,,,0
1975-11,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1695.0,,,,0
1975-12,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1066.0,,,,0
1976-01,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1203.0,,,,0
1976-02,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1432.0,,,,0
1976-03,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2105.0,,,,0
1976-04,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2493.0,,,,0
1976-05,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2084.0,,,,0
1976-06,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,2256.0,,,,0
1976-07,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1925.0,,,,0
1976-08,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1533.0,,,,0
1976-09,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1182.0,,,,0
1976-10,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1856.0,,,,0
1976-11,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1222.0,,,,0
1976-12,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1052.0,,,,0
1977-01,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1229.0,,,,0
1977-02,Newfoundland and Labrador,2016A000210,"Total, new motor vehicles","Total, country of manufacture",Units,Unadjusted,Units,300,units,0,v42169996,2.1.1.1.1,1388.0,,,,0
